LucasArts Game Compatibility Chart||logo_lucas_arts|
Maniac Mansion|maniac|90|maniac.png
Zak McKracken and the Alien Mindbenders|zak|90|zak.png
Indiana Jones and the Last Crusade|indy3|90|indy3.png
Loom|loom|95|loom.png
Passport to Adventure|pass|95|pass.png
The Secret of Monkey Island|monkey|95|monkey1.png
Monkey Island 2: LeChuck's Revenge|monkey2|95|monkey2.png
Indiana Jones and the Fate of Atlantis|atlantis|95|indy4.png
Day of the Tentacle|tentacle|95|tentacle.png
Sam & Max Hit the Road|samnmax|95|samnmax.png
Full Throttle|ft|90|ft.png
The Dig|dig|90|dig.png
The Curse of Monkey Island|comi|90|comi.png

Activision Adventure Game Compatibility Chart||logo_activision|
Leather Goddesses of Phobos 2|lgop2|90|lgop2.png
The Manhole|manhole|90|manhole.png
Return to Zork|rtz|90|rtz.png
Rodney's Funscreen|rodney|90|rodney.png

Adventuresoft/Horrorsoft Game Compatibility Chart||svmlist_space|
Elvira - Mistress of the Dark|elvira1|90|elvira.png
Elvira II - The Jaws of Cerberus|elvira2|80|elvira.png
Simon the Sorcerer 1|simon1|95|simon.png
Simon the Sorcerer 2|simon2|95|simon.png
Simon the Sorcerer's Puzzle Pack - D.I.M.P.|dimp|70|simon.png
Simon the Sorcerer's Puzzle Pack - Jumble|jumble|70|simon.png
Simon the Sorcerer's Puzzle Pack - NoPatience|puzzle|70|simon.png
Simon the Sorcerer's Puzzle Pack - Swampy Adventures|swampy|70|simon.png
The Feeble Files|feeble|95|feeble.png
Waxworks|waxworks|50|waxworks.png

Coktel Vision Game Compatibility Chart||logo_coktel_vision|
Bargon Attack|bargon|95|bargon.png
Fascination|fascination|80|sinimg.png
Gobliiins|gob1|95|gob.png
Gobliins 2|gob2|95|gob.png
Goblins 3|gob3|95|gob.png
Lost in Time|lostintime|95|lostintime.png
The Bizarre Adventures of Woodruff and the Schnibble|woodruff|95|woodruff.png
Ween: The Prophecy|ween|95|ween.png

Revolution Software Game Compatibility Chart||logo_revolution_software|
Beneath a Steel Sky|sky|98|sky.png
Broken Sword: The Shadow of the Templars|sword1|98|sword1.png
Broken Sword II: The Smoking Mirror|sword2|98|sword2.png
Lure of the Temptress|lure|95|lure.png

Sierra SCI Game Compatibility Chart||logo_sierra|
Castle of Dr. Brain (EGA and VGA)|castlebrain|95|sinimg.png
Codename: ICEMAN|iceman|95|sinimg.png
Conquests of Camelot|camelot|95|sinimg.png
Conquests of the Longbow (EGA and VGA)|longbow|95|sinimg.png
EcoQuest: The Search for Cetus|ecoquest|95|sinimg.png
EcoQuest 2: Lost Secret of the Rainforest|ecoquest2|95|sinimg.png
Freddy Pharkas: Frontier Pharmacist|freddypharkas|95|sinimg.png
Hoyle's Book of Games 1|hoyle1|95|sinimg.png
Hoyle's Book of Games 2|hoyle2|95|sinimg.png
Hoyle's Book of Games 3 (EGA and VGA)|hoyle3|95|sinimg.png
Hoyle Classic Card Games|hoyle4|95|sinimg.png
Jones in the Fast Lane|jones|95|sinimg.png
King's Quest I (SCI remake)|kq1sci|95|kq.png
King's Quest IV (SCI version)|kq4sci|95|kq.png
King's Quest V (EGA and VGA)|kq5|95|kq.png
King's Quest VI (low and hi res)|kq6|95|kq.png
Laura Bow: The Colonel's Bequest|laurabow|95|sinimg.png
Laura Bow 2: The Dagger of Amon Ra|laurabow2|95|sinimg.png
Leisure Suit Larry 1 (SCI remake) (EGA and VGA)|lsl1sci|95|lsl.png
Leisure Suit Larry 2|lsl2|95|lsl.png
Leisure Suit Larry 3|lsl3|95|lsl.png
Leisure Suit Larry 5 (EGA and VGA)|lsl5|95|lsl.png
Leisure Suit Larry 6 (low res)|lsl6|95|lsl.png
Mixed-up Fairy Tales|fairytales|95|mumg.png
Mixed-up Mother Goose|mothergoose|95|mumg.png
Pepper's Adventures in Time|pepper|95|sinimg.png
Police Quest 1 (SCI remake)|pq1sci|95|pq.png
Police Quest 2|pq2|95|pq.png
Police Quest 3 (EGA and VGA)|pq3|95|pq.png
Quest for Glory 1/Hero's Quest|qfg1|95|sinimg.png
Quest for Glory 1 VGA remake|qfg1vga|95|sinimg.png
